track,fold,feature_set,model,accuracy,precision,recall,f1,error_rate,roc_auc
binary,1,original,KNN,0.9295774647887324,0.9979959919839679,0.6492829204693612,0.7867298578199052,0.07042253521126762,0.9160300443506579
binary,1,original,SVM,0.9731351069379238,0.9560439560439561,0.9074315514993481,0.9311036789297659,0.02686489306207618,0.9965241718100195
binary,1,original,DecisionTree,0.9410537297861241,0.9079939668174962,0.7848761408083442,0.8419580419580419,0.058946270213875884,0.8451801551529105
binary,1,original,LogisticRegression,0.8215962441314554,0.9770114942528736,0.11082138200782268,0.1990632318501171,0.17840375586854462,0.5214643496462532
binary,1,original,LDA_Classifier,0.8242044861763171,0.9428571428571428,0.1290743155149935,0.22706422018348624,0.17579551382368286,0.5221895698373016
binary,1,original,MLP_ANN,0.9752217005738133,0.9565217391304348,0.9178617992177314,0.9367930805056554,0.0247782994261867,0.9886638646924468
binary,1,pca,KNN,0.9311424100156495,0.9960552268244576,0.6584093872229465,0.792778649921507,0.06885758998435054,0.9178915562009514
binary,1,pca,SVM,0.97339593114241,0.9561042524005487,0.9087353324641461,0.9318181818181818,0.026604068857590035,0.9963968544318137
binary,1,pca,DecisionTree,0.9475743348982786,0.8985915492957747,0.8318122555410691,0.8639133378469871,0.05242566510172142,0.8572506502963583
binary,1,pca,LogisticRegression,0.8101199791340636,0.975609756097561,0.05215123859191656,0.09900990099009901,0.18988002086593636,0.5177685323303246
binary,1,pca,LDA_Classifier,0.812206572769953,0.9795918367346939,0.06258148631029987,0.11764705882352941,0.187793427230047,0.5161782341270937
binary,1,pca,MLP_ANN,0.9700052164840898,0.9465753424657535,0.9009126466753585,0.9231796927187709,0.02999478351591023,0.9886868200795021
binary,1,lda_reduction,KNN,0.8427230046948356,0.6822222222222222,0.4002607561929596,0.504519309778143,0.15727699530516437,0.727478746074735
binary,1,lda_reduction,SVM,0.8534167970787689,0.8193146417445483,0.3428943937418514,0.4834558823529412,0.14658320292123106,0.7171764533841978
binary,1,lda_reduction,DecisionTree,0.8390714658320292,0.6875,0.35853976531942633,0.4712939160239931,0.16092853416797082,0.6706607623143961
binary,1,lda_reduction,LogisticRegression,0.8221178925404278,0.9381443298969072,0.11864406779661017,0.21064814814814814,0.17788210745957223,0.5221895698373016
binary,1,lda_reduction,LDA_Classifier,0.8242044861763171,0.9428571428571428,0.1290743155149935,0.22706422018348624,0.17579551382368286,0.5221895698373016
binary,1,lda_reduction,MLP_ANN,0.8570683359415754,0.8050139275766016,0.3767926988265971,0.5133214920071048,0.1429316640584246,0.794381796548105
binary,1,svd,KNN,0.9327073552425665,0.9922630560928434,0.6688396349413298,0.7990654205607477,0.06729264475743346,0.9306322211164906
binary,1,svd,SVM,0.9731351069379238,0.9547945205479452,0.9087353324641461,0.9311957247828991,0.02686489306207618,0.9961736770576635
binary,1,svd,DecisionTree,0.9530516431924883,0.9048275862068965,0.8552803129074316,0.8793565683646113,0.04694835680751175,0.8807269971080463
binary,1,svd,LogisticRegression,0.8069900886802295,0.9655172413793104,0.03650586701434159,0.07035175879396985,0.19300991131977052,0.524129725143248
binary,1,svd,LDA_Classifier,0.809076682316119,0.972972972972973,0.0469361147327249,0.08955223880597014,0.19092331768388104,0.5224378280973088
binary,1,svd,MLP_ANN,0.9692227438706312,0.9344042838018741,0.910039113428944,0.9220607661822986,0.03077725612936877,0.992614741864547
binary,1,filter_kbest,KNN,0.9402712571726656,0.9702797202797203,0.7235984354628422,0.8289768483943242,0.059728742827334425,0.9382920936970883
binary,1,filter_kbest,SVM,0.9616588419405321,0.9403409090909091,0.863102998696219,0.9000679809653297,0.03834115805946792,0.9866318878382785
binary,1,filter_kbest,DecisionTree,0.936358894105373,0.900459418070444,0.7666232073011734,0.828169014084507,0.06364110589462701,0.8498556148664188
binary,1,filter_kbest,LogisticRegression,0.8075117370892019,0.967741935483871,0.03911342894393742,0.07518796992481203,0.19248826291079812,0.5200615204373087
