track,feature_set,model,accuracy,error_rate,precision,recall,f1,roc_auc
multiclass,original,MLP_ANN,0.6746955111607763,0.3253044888392236,0.6768432534127701,0.6746945078936051,0.6754969632652089,
multiclass,svd,MLP_ANN,0.6713050913728499,0.3286949086271501,0.6724674000395595,0.6713041100304897,0.6717827970777209,
multiclass,pca,MLP_ANN,0.6708694997541915,0.3291305002458085,0.6718323446569491,0.6708670200151371,0.6711119388909749,
multiclass,embedded_l1,MLP_ANN,0.6619998436733266,0.3380001563266734,0.6635874738325384,0.6620046001114285,0.6624003677466178,
multiclass,ga_selection,MLP_ANN,0.6317389509681798,0.3682610490318203,0.6363586154737892,0.6317489387631442,0.6331252232566759,
multiclass,filter_kbest,MLP_ANN,0.5726951240186317,0.4273048759813684,0.5742892982523732,0.5726839165171688,0.5728334893343431,
multiclass,pca,SVM,0.5504344960617337,0.4495655039382663,0.596805503563087,0.550433515681115,0.5324471750536477,
multiclass,svd,SVM,0.5483476302377884,0.4516523697622115,0.593987199890272,0.5483465583700128,0.5304090052960386,
multiclass,original,SVM,0.5472173239713344,0.4527826760286655,0.5954858932965107,0.547216047512547,0.5293857441412992,
multiclass,embedded_l1,SVM,0.5435651953677404,0.4564348046322596,0.5926865267854569,0.5435678437006047,0.5252492318602504,
multiclass,ga_selection,SVM,0.5273048170072896,0.4726951829927104,0.5736898551306596,0.5273037151516595,0.506557673807209,
multiclass,wrapper_sfs,MLP_ANN,0.5159121364253715,0.4840878635746286,0.5230283516440247,0.51590953189838,0.518584573864903,
multiclass,pca,DecisionTree,0.5096537164579823,0.4903462835420176,0.5104307950858481,0.509636972459471,0.4886484744197677,
multiclass,svd,KNN,0.4977386616322763,0.5022613383677236,0.5835327751683076,0.4977427228256983,0.5038255397057803,
multiclass,svd,DecisionTree,0.4977386162676003,0.5022613837323996,0.495931914931272,0.4977516870290246,0.4716428537367363,
