track,feature_set,model,accuracy,error_rate,precision,recall,f1,roc_auc
binary,svd,SVM,0.9719129372026316,0.0280870627973683,0.9540997878921448,0.903042495997313,0.9278551923842504,0.9944761146236814
binary,original,MLP_ANN,0.9714779353247608,0.028522064675239,0.9526776810434372,0.9021676351410388,0.9267083134921892,0.9877294536231718
binary,pca,SVM,0.9712172018496268,0.0287827981503733,0.9543338348420056,0.8991277489750739,0.925893698515734,0.9944401684690568
binary,original,SVM,0.9706954400289644,0.0293045599710355,0.9546414158338128,0.8960844586812636,0.9244114878301734,0.994633391316184
binary,pca,MLP_ANN,0.9702608917978534,0.0297391082021466,0.9426010213372388,0.9065186778821333,0.9241794560237936,0.9881876764213838
binary,svd,MLP_ANN,0.9689564985873668,0.0310435014126333,0.9362367023145328,0.9065186778821333,0.9211323593686376,0.9888375350077796
binary,embedded_l1,MLP_ANN,0.9689561356699588,0.0310438643300411,0.9561785288794468,0.8856576150907257,0.9192190510613006,0.9842420900237692
binary,embedded_l1,SVM,0.9683475458594912,0.0316524541405088,0.9519396416600032,0.8865199941449001,0.9180278346819278,0.9945671897959152
binary,ga_selection,MLP_ANN,0.9661741242337962,0.0338258757662036,0.9271377070885124,0.9017398497417968,0.9142482263821606,0.99007112453624
binary,ga_selection,SVM,0.965391334067606,0.034608665932394,0.9481613100101104,0.8747865328163598,0.9099821113278104,0.992508118896532
binary,filter_kbest,SVM,0.9537384417043272,0.0462615582956727,0.9282578104432228,0.8330400109839858,0.8779693169194419,0.9816830884872974
binary,wrapper_sfs,SVM,0.9513907970405718,0.0486092029594281,0.9280860495605306,0.8204407664734257,0.8706987307704485,0.9819926805347632
binary,svd,DecisionTree,0.9503475909519792,0.0496524090480209,0.9045574037992492,0.8404332093096089,0.8712825683236693,0.8728172385925436
binary,wrapper_sfs,MLP_ANN,0.9495648461504648,0.0504351538495352,0.9053678640131988,0.83522602841539,0.8685189248949806,0.9795216349502291
binary,pca,DecisionTree,0.9493044982750763,0.0506955017249237,0.8972098709289181,0.84347706695806,0.86937798183627,0.8688662794099725
